University,Missing Fields/Relations
Michigan Technological University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Norquest College,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
North Island College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Middlesex University (Dubai),"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
North Park University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Midwestern State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Northeastern Illinois University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Milwaukee School of Engineering,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Mississippi College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northeastern University - Toronto,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northern Alberta Institute of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Missouri State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northern Arizona University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Missouri University of Science and Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northern College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Northern College at Pures,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Mohawk College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Northern Illinois University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
New York Institute of Technology (Canada),All Data Present
Montana State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Montclair State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northern Lights College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Mount Saint Vincent University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northern State Medical University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Muma College of Business,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Northwest Missouri State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Munich Business School,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Northwestern Polytechnic University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Northwestern University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Nova Southeastern University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, VideoLinks"
Providence University College and Theological Seminary,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
University of Montreal,All Data Present
Novosibirsk State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, VideoLinks"
Murdoch University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Pace University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Murray State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Pacific Lutheran University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Paris College of Art,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Pennsylvania State University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Pepperdine University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Oakland University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Polytechnic University of Valencia,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Portland State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Pratt Institute,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
University of Alberta (UOFA),All Data Present
Queensland University of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Quinnipiac University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
OCAD University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Red Deer Polytechnic,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Uni_contact, VideoLinks, UniversityRanking"
Regent University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
Regis University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Odessa National Medical University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Ohio Dominican University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Rensselaer Polytechnic Institute,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Ohio University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Rhine Waal University of Applied Sciences,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Rhineland-Palatinate Technical University (RPTU),"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, VideoLinks, UniversityRanking, FAQs"
Rice University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Okanagan College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Richard J. Wehle School of Business,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Oklahoma City University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Rider University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Olds College,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, Stats, UniversityRanking"
Riga Technical University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
OMNES - ESCE Business School,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
OMNES - INSEEC School of Business and Economics,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, VideoLinks, UniversityRanking"
Oregon State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Saarland University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Technische Hochschule Ingolstadt,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Sacred Heart University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Robert Morris University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Rochester Institute of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
SAE Institute,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Saginaw Valley State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Saint Peter's University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Roosevelt University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
San Diego State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
San Francisco State University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
San Jose State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Santa Clara University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Sapienza University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Trine University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Rowan University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Royal Roads University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Rutgers University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Tallinn University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Tampere University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Carleton University,All Data Present
Taras Shevchenko National University of Kyiv,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Tbilisi State Medical University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Technical University Dortmund,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Technical University of Braunschweig,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Technical University of Darmstadt,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Technical University of Denmark,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Technical University of Dresden,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Ted Rogers School of Management,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking, FAQs"
Saskatchewan Polytechnic,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Temple University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, VideoLinks, UniversityRanking, FAQs"
Sault College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Texas A & M University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Saskatchewan,All Data Present
The Polytechnic University of Milan,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking, FAQs"
Texas A & M University Corpus Christi,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking, FAQs"
Texas Christian University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Texas Tech University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Texas Wesleyan University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
The Australian College of Applied Professions,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, VideoLinks, UniversityRanking, FAQs"
Selkirk College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
The University of British Columbia (UBC),All Data Present
The University of Findlay,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking, FAQs"
Seneca College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
The University of Melbourne,All Data Present
The University of Newcastle (Australia),"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, VideoLinks"
Seton Hall University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
The University of Scranton,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Sheridan College Davis,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
The University of Texas at Arlington,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Slippery Rock University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
The University of Texas at Austin,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
South Dakota State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
The University of Tulsa,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Concordia University,cover_url
South East Technological University (SETU),All Data Present
Southeast Missouri State University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Thomas Jefferson University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Thompson Rivers University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Southern Alberta Institute of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Southern Cross University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Torrens University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Trent University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Tilburg University,All Data Present
Southern Illinois University Edwardsville,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Southern Methodist University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Southern New Hampshire University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Trier University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
SP Jain School of Global Management Dubai,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
SRH - Hochschulen Heidelberg,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Aalborg University,avg_tution_fee
Trinity Western University Langley,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Uni_contact, Stats, VideoLinks, UniversityRanking, FAQs"
SRH - International College,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Troy University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
St. Lawrence College,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
St. Thomas University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Tufts University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
State University of New York,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Tulane University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Steinbeis University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Stevens Institute of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Universität Leipzig,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Acadia University,"Visa, WorkOpportunity, UniversityRanking"
UCAM Catholic University of Murcia,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Stenberg College,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
Ulm University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Umea University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Universita Di Padova,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Antwerp,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Stockholm University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Algoma University,"AdmissionStats, Visa, WorkOpportunity, UniversityRanking"
Stony Brook University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Alabama at Birmingham,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Suffolk University Usa,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
Upper Iowa University,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
University of Alaska - Fairbanks,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking"
Sumy State University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Albany,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, UniversityRanking, FAQs"
SUNY New Paltz,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, UniversityRanking"
Swinburne University of Technology,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Uppsala University,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Arizona,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity, Stats"
University of Arkansas,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Zurich,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Barcelona,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Bari Aldo Moro,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats, FAQs"
University of Wyoming,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Basel,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity, Stats"
University of Bayreuth,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Wurzburg,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Bern,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Bologna,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Wroclaw,"avg_acceptance_rate, avg_tution_fee, AdmissionStats, Visa, WorkOpportunity"
University of Bonn,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
University of Wollongong Dubai,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Berlin School of Business and Innovation (BSBI),"avg_acceptance_rate, AdmissionStats, Visa, WorkOpportunity, Stats, VideoLinks, FAQs"
Lund University,All Data Present
Harvard University,All Data Present
Princeton University,All Data Present
Stanford University,All Data Present
Yale University,All Data Present
Columbia University,All Data Present
The University of Western Australia,All Data Present
Instituto Marangoni,All Data Present
The University of Queensland,All Data Present
University of California Berkeley,All Data Present
Monash University,All Data Present
RMIT University,All Data Present
University of Technology Sydney,All Data Present
INTO - The University of Western Australia,"avg_acceptance_rate, avg_tution_fee, Visa, WorkOpportunity"
Curtin University,All Data Present
The University of Adelaide,All Data Present
Macquarie University,All Data Present
RWTH Aachen University,avg_tution_fee
University of Freiburg,All Data Present
Humboldt University of Berlin,All Data Present
Heidelberg University,All Data Present
Free University of Berlin,All Data Present
University of Tuebingen,avg_tution_fee
Karlsruhe Institute of Technology,All Data Present
University of Goettingen,All Data Present
University College Dublin (UCD),All Data Present
Maynooth University,All Data Present
Dublin City University,All Data Present
TU Dublin,All Data Present
Munster Technological University,All Data Present
IBAT College Dublin,All Data Present
Sciences Po,All Data Present
Ecole Polytechnique,All Data Present
École Normale Supérieure (ENS),All Data Present
NEOMA Business School,All Data Present
ESCP Europe Business School Paris,All Data Present
EDHEC Business School,All Data Present
Institut Polytechnique de Paris,All Data Present
SKEMA Business School,All Data Present
Essec Business School,All Data Present
The University of Chicago,All Data Present
Australian National University,All Data Present
Delft University of Technology,All Data Present
Amsterdam University of Applied Sciences,All Data Present
University of Pennsylvania,All Data Present
Technical University of Munich,avg_tution_fee
Massachusetts Institute of Technology (MIT),All Data Present
